region,area_codes
FL,"239,305,321,352,386,407,561,689,727,754,772,786,813,850,863,904,927,941,954"
LA,"225,318,337,504,985"
GU,671
MX,52 55
OR,"503,541,971"
NS,"782,902"
MS,"228,601,662,769"
MB,"204,431"
IL,"217,224,309,312,331,464,618,630,708,773,779,815,847,872"
IN,"219,260,317,574,765,812"
UT,"385,435,801"
MI,"231,248,269,278,313,517,586,616,679,734,810,906,947,989"
KS,"316,620,785,913"
MN,"218,320,507,612,651,763,952"
NE,"308,402"
CT,"203,475,860,959"
SK,"306,639"
AL,"205,251,256,334"
CA,"209,213,310,323,341,369,408,415,424,442,510,530,559,562,619,626,627,628,650,657,661,669,707,714,747,760,764,805,818,831,858,909,916,925,935,949,951"
ND,701
KY,"270,502,606,859"
WA,"206,253,360,425,509,564"
QC,"418,438,450,481,514,579,819,873"
RI,401
VA,"276,434,540,571,703,757,804"
YT,867
IA,"319,515,563,641,712"
NY,"212,315,347,516,518,585,607,631,646,716,718,845,914,917"
MA,"339,351,413,508,617,774,781,857,978"
TX,"210,214,254,281,325,361,409,430,432,469,512,682,713,737,806,817,830,832,903,915,936,940,956,972,979"
PA,"215,267,412,484,570,610,717,724,814,835,878"
AZ,"480,520,602,623,928"
MT,406
AB,"403,587,780,825"
NM,"505,575,957"
AK,907
NC,"252,336,704,828,910,919,980,984"
BC,"236,250,604,778"
NB,506
NL,709
VT,802
AR,"479,501,870"
MO,"314,417,557,573,636,660,816,975"
HI,808
WY,307
MP,670
MD,"240,301,410,443"
VI,340
GA,"229,404,470,478,678,706,762,770,912"
DC,202
WI,"262,414,608,715,920"
OH,"216,234,283,330,380,419,440,513,567,614,740,937"
NV,"702,725,775"
PR,"787,939"
OK,"405,539,580,918"
CO,"303,719,720,970"
DE,302
WV,"304,681"
ME,207
ON,"226,289,343,365,416,437,519,548,613,647,705,807,905"
SD,605
TN,"423,615,629,731,865,901,931"
NH,603
SC,"803,843,864"
ID,208
NJ,"201,551,609,732,848,856,862,908,973"
